Name,Team,Age,Position,Apps,Minutes,Total Assists,Key passes per game,Passes per game,Pass success percentage,Crosses per game,Long balls per game,Through balls per game,Rating
Loïck Landre,Lens,27,D(C),26,2240,-,-,27.2,78.1,-,2.8,-,6.81
Sloan Privat,Caen,29,FW,13(7),983,1,0.5,12.2,57.2,0.1,0.4,-,6.81
Vincent Aboubakar,Lorient,27,"AM(R),FW",2,180,-,0.5,27,72.2,-,-,-,6.81
Pedrinho,Lorient,34,D(R),7(2),672,-,0.3,36.6,76.6,0.1,2.1,-,6.80
Mathieu Deplagne,Montpellier,27,D(LR),23(8),2079,1,0.4,24.8,77.5,0.3,1.2,-,6.80
David Rozehnal,Lille,38,"D(C),DMC",14(4),1382,-,0.1,38.9,83,-,3.2,-,6.80
Lindsay Rose,Lyon,27,D(C),13(2),1207,-,0.1,37.8,84.3,-,2.9,-,6.80
Chaker Alhadhur,Nantes,27,D(LR),12(3),1101,-,0.3,35.4,81.4,0.4,1.4,-,6.79
Gaël Danic,SC Bastia,37,AM(CLR),14(1),1092,4,0.8,26.9,73,0.9,2.3,-,6.79
Kian Hansen,Nantes,30,"D(C),DMC",28(1),2417,1,0.3,35.1,77.2,-,3.2,0.1,6.79
Pape Souaré,Lille,29,"D(L),M(L)",9(3),959,-,0.3,32.2,78,0.6,1.8,-,6.79
Joris Marveaux,Montpellier,36,M(CR),20(9),1786,1,0.4,26.6,79.1,0.1,1.9,-,6.79
Jordan Ferri,Lyon,27,M(C),30(5),2614,6,1,57.7,86.2,0.1,4.5,0.1,6.79
Jonathan Brison,Saint-Etienne,36,D(LR),9(9),954,-,0.4,22.9,73.4,0.5,1,0.1,6.79
Nolan Roux,Lille,31,"AM(LR),FW",29(4),2363,3,0.7,19.9,72.6,0.1,0.7,-,6.79
Gilles Sunu,Evian Thonon Gaillard,28,"AM(LR),FW",9(1),622,1,0.8,15.7,66.9,0.5,0.1,-,6.78
Rémy Vercoutre,Caen,39,GK,38,3420,-,-,25.3,45.6,-,9.8,-,6.78
Cyriak Garel,Reims,22,Goalkeeper,0(1),68,-,-,23,39.1,-,4,-,6.78
Romain Rocchi,Metz,37,"DMC,M(R)",3,254,-,-,27.3,73.2,-,1,-,6.78
Ellyes Skhiri,Montpellier,24,DMC,1(1),91,1,0.5,21.5,83.7,-,1,-,6.78
Younousse Sankharé,Guingamp,29,M(C),25(4),2277,4,0.6,36.3,75.6,0.1,1.2,0.2,6.77
Maxime Baca,Guingamp,36,D(LR),12(2),1087,-,0.2,23.9,61.7,0.1,1.4,-,6.77
Olivier Sorlin,Evian Thonon Gaillard,40,M(C),26(4),2453,1,0.3,43.6,82.6,-,4.2,-,6.77
Antoine Devaux,Reims,34,M(C),27(1),2303,-,0.6,46.1,83.2,0.1,2.8,-,6.77
Lucas Ocampos,Marseille,24,"M(CLR),FW",3(9),485,1,0.5,10.9,71.8,0.2,0.2,-,6.77
Renaud Cohade,Saint-Etienne,34,M(C),11(6),1040,-,0.7,38.9,77.3,0.5,2.3,0.1,6.77
