Name,Team,Age,Position,Apps,Minutes,Total Assists,Key passes per game,Passes per game,Pass success percentage,Crosses per game,Long balls per game,Through balls per game,Rating
Kevin Volland,Hoffenheim,26,"AM(CLR),FW",31(3),2698,7,1.3,21.9,69.3,0.6,0.6,0.2,6.88
Bo Svensson,Mainz 05,39,D(C),25,2149,1,0.3,51.1,79.3,-,7,-,6.88
Simon Kjaer,Wolfsburg,30,D(C),20(2),1686,1,0.3,40.2,82.6,-,5.1,-,6.88
Fabian Johnson,Hoffenheim,31,"D(LR),M(CLR)",30(1),2680,4,0.8,35.9,80,0.2,1.9,-,6.87
Oscar Wendt,Borussia M.Gladbach,33,"D(L),M(L)",21,1873,3,0.8,42.3,80.7,0.8,1.4,-,6.87
Yohandry Orozco,Wolfsburg,28,Midfielder,1(1),127,1,1.5,28,73.2,0.5,3,1,6.87
Tolgay Arslan,Hamburger SV,28,M(C),19(6),1672,1,0.8,37.9,84.2,0.3,2.5,0.1,6.86
Manuel Neuer,Bayern Munich,33,GK,31,2790,-,-,26.7,74.9,-,7,-,6.86
Mergim Mavraj,Greuther Fuerth,33,D(C),32,2809,-,0.1,35.6,76.4,-,4.4,-,6.86
Marcel de Jong,Augsburg,32,"D(L),M(L)",14(6),1281,1,0.5,25.1,69.3,0.6,2.5,-,6.86
Klaas-Jan Huntelaar,Schalke 04,35,FW,26,2232,4,0.9,19.9,73.7,0.2,0.8,-,6.86
Heinrich Schmidtgal,Greuther Fuerth,33,D(L),16(2),1469,1,0.8,33.1,71.9,0.7,2.2,-,6.86
Steven Cherundolo,Hannover 96,40,D(R),20,1764,1,0.4,44.7,76.6,0.2,1.8,0.1,6.86
Matthias Ostrzolek,Augsburg,29,"D(L),DMC,M(L)",22(3),1963,2,0.6,29.8,71.4,0.9,1.8,-,6.86
Eljero Elia,Werder Bremen,32,"AM(LR),FW",22(2),1745,3,1.1,23.2,79.3,0.7,0.8,-,6.86
Radoslav Zabavník,Mainz 05,38,D(L),13(4),1153,1,0.4,21.8,73.6,0.2,1,-,6.85
Atsuto Uchida,Schalke 04,31,"D(R),M(R)",24,2035,2,0.5,43.3,75.9,0.4,1.8,-,6.85
Maximilian Arnold,Wolfsburg,25,M(CR),5(1),408,-,0.2,15,72.2,0.2,0.3,0.2,6.85
Thorben Marx,Borussia M.Gladbach,38,DMC,23,1998,2,0.3,46.7,84.5,-,2.8,0.1,6.85
