Name,Team,Age,Position,Apps,Minutes,Tackles per game,Interceptions per game,Fouls per game,Offsides per game,Clearances per game,Dribbled past per game,Outfield blocks per game,Own goals,Rating
Kingsley Ehizibue,PEC Zwolle,24,"D(R),M(R)",33,2943,2.1,1.3,1.8,0.3,2,0.8,0.3,-,6.83
Mitchel Paulissen,Roda,26,"AM(CL),FW",7,491,2.7,0.1,1,-,1.4,1.9,0.1,-,6.83
Bilal Basacikoglu,Feyenoord,24,AM(LR),3(10),398,0.8,0.2,0.3,-,0.2,0.1,-,-,6.83
Moreno Rutten,VVV-Venlo,26,"D(R),DMC",30,2616,2.1,2.3,0.9,0.1,2.6,1.3,0.5,-,6.83
Daley Sinkgraven,Ajax,23,"D(L),M(CL)",1(3),145,1,1,0.5,0.3,0.3,0.5,-,-,6.82
Mats Seuntjens,AZ Alkmaar,27,"M(CLR),FW",15(16),1613,0.9,0.4,0.8,-,0.5,0.9,0.1,-,6.82
Wilfried Kanon,ADO Den Haag,25,D(CL),23,1859,1.8,1.9,0.5,0.9,5.7,0.5,0.7,-,6.82
Mark van der Maarel,FC Utrecht,29,D(CLR),27(3),2440,2.3,1.2,1.5,0.3,3.2,0.4,0.2,-,6.81
Yuki Kobayashi,SC Heerenveen,27,AM(CR),30,2568,1.3,0.9,0.8,0.1,0.7,1,0.1,-,6.81
Ryan Sanusi,Sparta Rotterdam,27,M(C),32(1),2788,3.4,1.8,1.8,-,1.2,1.5,0.2,1,6.81
Danny Holla,Twente,31,DMC,23(2),1981,1.8,0.8,1.6,-,1.4,0.6,0.3,-,6.81
Roel Janssen,VVV-Venlo,29,D(L),22(3),1978,2.9,2.2,1.4,-,3.4,1.7,0.2,-,6.80
Tom van Weert,FC Groningen,29,FW,24(7),2153,0.4,0.2,1.1,-,0.9,0.6,0.3,-,6.80
Robert Mühren,Sparta Rotterdam,30,"AM(C),FW",25(3),2135,1,0.8,0.6,-,1.2,1.3,0.1,-,6.80
Marco Bizot,AZ Alkmaar,28,GK,34,3060,-,-,-,-,1,0.1,-,-,6.80
Mitchell te Vrede,NAC Breda,27,FW,7(4),625,0.5,-,0.3,-,0.8,0.4,0.1,-,6.80
Lorenzo Burnet,Excelsior,28,D(L),3(1),261,1.5,2.3,0.3,-,2,0.3,-,-,6.80
Roy Kortsmit,Sparta Rotterdam,26,GK,19,1672,0.2,0.1,-,-,1.3,0.1,-,-,6.80
Etien Velikonja,Willem II,30,FW,5,300,0.2,-,0.8,-,0.2,0.2,-,-,6.80
Mattijs Branderhorst,Willem II,25,GK,20,1756,0.2,-,-,-,0.9,0.1,-,-,6.80
Kenneth Dougall,Sparta Rotterdam,26,DMC,29,2510,3.3,1.1,1.8,0.1,2.2,1.6,0.2,-,6.79
Jordy Bruijn,SC Heerenveen,22,Midfielder,2(2),197,1,0.5,1,-,0.5,0.3,-,-,6.79
Nigel Bertrams,NAC Breda,26,GK,16,1431,0.1,0.1,0.1,-,0.8,-,-,-,6.79
Owen Wijndal,AZ Alkmaar,19,D(L),4(3),471,2.1,1.6,0.6,0.3,1.3,1.6,0.1,-,6.79
Fankaty Dabo,Vitesse,23,D(R),24(2),2084,2,1.2,0.6,0.3,2.2,0.8,0.2,1,6.79
Jannik Huth,Sparta Rotterdam,25,GK,14,1260,0.1,0.1,-,-,1.1,0.1,-,-,6.79
Levi García,Excelsior,21,AM(L),5(10),648,0.4,0.4,0.6,-,0.3,0.3,-,-,6.79
Kristoffer Peterson,Heracles,24,AM(CLR),28(5),2478,0.8,0.3,0.9,-,0.5,1,0.1,-,6.78
Morten Thorsby,SC Heerenveen,23,AM(CL),26(5),2289,2.2,0.8,2.4,-,1.1,1.1,0.2,-,6.78
Mitchell Dijks,Ajax,26,"D(L),M(L)",8(1),682,1.3,0.7,1.1,0.9,1.4,0.3,0.1,-,6.78
Miquel Nelom,Feyenoord,28,D(L),3(3),419,1.3,1.7,0.5,-,1.8,0.3,0.2,-,6.77
Fabian Sporkslede,NAC Breda,25,D(R),20(2),1840,1.8,1.5,0.6,0.1,3.3,0.5,0.5,-,6.77
Ron Vlaar,AZ Alkmaar,34,D(C),10(2),943,1,1.9,0.6,1.1,5.1,0.3,0.8,-,6.77
Jeff Hardeveld,Heracles,24,D(CL),18,1540,2,1.6,0.8,0.3,3.9,0.7,1.1,-,6.76
Patrick Banggaard,Roda,25,D(C),14,1260,0.9,1.6,0.6,1.3,5.6,0.6,1.1,1,6.76
Ludovit Reis,FC Groningen,19,DMC,11(5),1004,1.3,1.9,0.9,-,1.6,1.5,0.4,-,6.76
Mounir El Allouchi,NAC Breda,24,M(CL),33,2788,1.6,1.1,0.4,-,0.8,1,0.3,-,6.75
Brahim Darri,Heracles,24,AM(L),10(7),893,0.9,0.2,0.5,-,0.1,0.6,0.1,-,6.75
Sheraldo Becker,ADO Den Haag,24,AM(LR),27,2219,0.4,0.2,1.2,-,0.2,0.3,-,-,6.75
Mustafa Saymak,PEC Zwolle,26,M(CLR),31,2735,0.9,0.8,0.7,0.1,0.5,1.2,-,-,6.75
Haris Vuckic,Twente,26,AM(C),11(1),1010,1.6,0.9,1.5,-,0.8,1.3,0.4,-,6.74
Hidde ter Avest,Twente,22,"D(R),M(R)",22,1779,3.6,1.4,1.2,0.2,2.8,0.9,0.2,-,6.74
Sofyan Amrabat,Feyenoord,22,DMC,11(10),1190,1.4,0.6,1.3,-,0.7,0.6,0.2,-,6.73
Cristián Cuevas,Twente,24,D(L),23(1),1968,3.9,1.6,1.4,0.1,2.3,1.7,0.2,-,6.73
Abdou Harroui,Sparta Rotterdam,21,Midfielder,1,90,2,3,1,-,-,5,3,-,6.73
Hennos Asmelash,ADO Den Haag,20,Defender,1,76,2,1,-,-,2,2,-,-,6.73
Milan Massop,Excelsior,25,D(L),26,2158,1.8,1.2,1.3,0.2,3,0.6,0.3,1,6.73
Nick Proschwitz,Sparta Rotterdam,32,FW,5(2),444,0.3,-,0.9,-,0.9,0.6,0.1,-,6.73
Robin van Persie,Feyenoord,35,"AM(C),FW",4(8),403,0.3,-,0.3,-,0.3,0.5,0.1,-,6.73
Dirk Marcellis,PEC Zwolle,31,D(CR),27(1),2350,1.8,1.4,0.7,1.1,4.1,1,0.7,-,6.73
Robin van der Meer,FC Utrecht,24,D(L),6(2),488,1.8,1.3,0.8,-,2.4,0.1,0.1,-,6.72
Urby Emanuelson,FC Utrecht,33,"D(L),M(CLR)",20(8),1907,1.7,0.9,0.8,0.1,1.2,0.6,0.1,-,6.71
Navarone Foor,Vitesse,27,M(CLR),27(3),2285,1.7,0.7,1.3,-,0.5,1.2,-,-,6.71
Delano van Crooij,VVV-Venlo,28,Goalkeeper,2,180,-,-,-,-,0.5,-,-,-,6.71
Leonard Nienhuis,Sparta Rotterdam,29,GK,1(1),128,-,-,-,-,-,-,-,-,6.71
Yoëll van Nieff,FC Groningen,26,"D(CL),DMC",16(5),1450,1.2,1.2,0.6,0.2,3.9,1.2,0.5,-,6.71
Myron Boadu,AZ Alkmaar,18,FW,0(1),23,1,-,2,-,-,-,-,-,6.70
Joël Drommel,Twente,22,GK,18,1620,0.1,0.1,-,-,1.4,0.1,-,-,6.70
Peet Bijen,Twente,24,D(C),32,2880,1.7,1.1,0.9,0.6,5.3,0.9,0.6,1,6.70
Tim Breukers,Heracles,31,D(LR),29(1),2535,3.1,1.2,1.6,0.1,3.2,1.5,0.5,-,6.69
Wout Faes,Excelsior,21,D(C),18(1),1573,1,1.8,0.7,0.3,6.4,0.4,0.5,-,6.69
