Team,Name,Accurate passing percentage,Assists,Tackles,Successful Dribbles,Goals,Rating
Fc Nantes,Samuel Moutoussamy,81,3,35,16,2,6.65
Amiens,Emil Krafth,73,1,55,8,1,6.65
Nimes Olympique,Herve Lybohy,84,0,22,1,2,6.65
As Monaco,Julien Serrano,79,0,5,0,0,6.65
Guingamp,Franck Tabanou,77,0,4,0,0,6.65
Stade De Reims,Nolan Mbemba,81,0,14,4,0,6.65
Bordeaux,Youssouf Sabaly,82,1,46,20,0,6.65
Bordeaux,Younousse Sankharé,76,3,25,29,1,6.65
Angers,Cristian López,67,0,6,1,2,6.65
Paris Saint Germain,Layvin Kurzawa,84,2,19,12,1,6.64
Amiens,Eddy Gnahoré,89,2,39,23,4,6.64
Saint Etienne,Valentín Vada,86,1,9,4,1,6.64
Toulouse,Corentin Jean,79,0,9,5,0,6.64
Caen,Emmanuel Imorou,75,1,18,5,0,6.64
Saint Etienne,Neven Subotić,84,0,44,3,1,6.64
Stade De Reims,Marvin Martin,76,1,2,4,0,6.64
Toulouse,Yannick Cahuzac,82,0,33,0,1,6.63
Nimes Olympique,Denis Bouanga,70,2,52,50,8,6.63
Stade Rennais,James Léa Siliki,76,3,26,12,0,6.63
Guingamp,Nathael Julan,60,0,1,2,0,6.63
Nimes Olympique,Moustapha Diallo,67,1,17,0,0,6.63
Dijon,Chang-Hoon Kwon,75,0,7,18,2,6.63
Montpellier,Nicolas Cozza,84,1,19,8,0,6.63
Dijon,Jules Keita,79,1,10,16,2,6.62
Saint Etienne,Kévin Monnet-Paquet,79,1,46,21,1,6.62
Caen,Ismaël Diomandé,82,1,28,8,0,6.62
Toulouse,Bafode Diakite,80,0,15,0,1,6.62
Dijon,Romain Amalfitano,79,0,52,27,0,6.62
Stade Rennais,Romain Del Castillo,75,3,36,36,0,6.62
Saint Etienne,Lamine Ghezali,74,0,1,1,1,6.62
Toulouse,Manu García,80,4,37,32,0,6.62
Dijon,Enzo Loiodice,85,1,24,4,0,6.62
As Monaco,Diego Benaglio,70,0,1,0,0,6.62
Caen,Malik Tchokounte,69,2,21,15,0,6.62
As Monaco,Adama Traoré,78,1,2,2,0,6.62
Amiens,Rafał Kurzawa,78,0,8,1,1,6.61
Strasbourg,Kevin Zohi,77,1,14,14,1,6.61
Toulouse,Aaron Leya Iseka,79,0,6,7,4,6.60
Paris Saint Germain,Giovani Lo Celso,100,0,1,0,0,6.60
Saint Etienne,Assane Dioussé,85,0,6,4,0,6.60
As Monaco,Han-Noah Massengo,85,0,2,1,0,6.60
Lille Osc,Reinildo Isnard Mandava,85,0,3,1,0,6.60
Bordeaux,Zaydou Youssouf,77,0,7,7,0,6.60
Stade Rennais,Souleyman Doumbia,88,0,11,7,0,6.60
Amiens,Gaoussou Traore,81,0,10,0,0,6.60
Nimes Olympique,Fethi Harek,69,0,4,1,0,6.60
As Monaco,Giulian Biancone,80,0,4,0,0,6.60
Ogc Nice,Pedro Brazao,100,0,0,0,0,6.60
Rc Lens,Steven Fortes,86,0,3,0,0,6.60
Fc Nantes,Thody Elie Youan,67,0,1,0,0,6.60
Bordeaux,Till Cissokho,81,0,1,1,0,6.60
Bordeaux,Driss Trichard,81,0,2,0,0,6.60
Toulouse,Firmin Ndombe Mubele,83,0,9,7,1,6.59
Nimes Olympique,Theo Valls,79,0,37,7,0,6.59
Ogc Nice,Jean-Victor Makengo,86,0,10,26,1,6.58
As Monaco,Andrea Raggi,84,0,7,0,0,6.58
Fc Nantes,Edgar Ié,79,0,25,8,0,6.58
Bordeaux,Yassine Benrahou,84,0,9,2,0,6.58
Toulouse,John Bostock,85,0,24,1,0,6.57
Guingamp,Didier N'Dong,82,0,16,6,0,6.57
Dijon,Yoann Gourcuff,84,0,0,1,0,6.57
Toulouse,Kalidou Sidibe,73,0,24,4,1,6.57
Caen,Saîf-Eddine Khaoui,72,1,20,24,3,6.57
Ogc Nice,Mohamed Lamine Diaby,85,0,1,1,0,6.57
Paris Saint Germain,Lassana Diarra,90,0,2,4,0,6.57
Ogc Nice,Eddy Sylvestre,82,1,3,3,0,6.56
Nimes Olympique,Faitout Maouassa,71,1,54,24,0,6.56
As Monaco,Moussa Sylla,64,0,6,8,0,6.55
Amiens,Mathieu Bodmer,70,0,15,4,1,6.55
Caen,Herman Moussaki,75,1,3,3,0,6.55
