Team,Name,Blocked shots,Errors lead to goal,Clearances,Interceptions,Tackles,Rating
Genoa,Davide Biraschi,3,0,14,7,4,6.67
Crotone,Leonardo Capezzi,8,0,28,31,50,6.66
Napoli,Manolo Gabbiadini,0,0,2,3,2,6.66
Chievoverona,Boštjan Cesar,11,0,82,24,16,6.66
Bologna,Umar Sadiq,0,0,1,0,6,6.66
Genoa,Mauricio Pinilla,1,0,7,0,5,6.66
Torino,Joel Obi,3,0,11,25,21,6.66
Udinese,Ryder Matos,0,0,3,6,9,6.66
Crotone,Aleandro Rosi,7,0,105,62,55,6.65
Udinese,Pablo Armero,1,0,7,1,4,6.65
Atalanta,Abdoulay Konko,4,0,25,15,11,6.65
Udinese,Orestis Karnezis,0,0,18,2,0,6.65
Cagliari,Fabio Pisacane,19,0,110,66,63,6.65
Fiorentina,Maximiliano Olivera,6,0,30,14,21,6.64
Sassuolo,Federico Ricci,0,0,5,8,33,6.64
Genoa,Eugenio Lamanna,0,1,27,2,0,6.64
Pescara,Rey Manaj,1,0,3,0,4,6.64
Pescara,Ahmad Benali,2,1,20,28,41,6.64
Empoli,Federico Dimarco,4,0,14,11,11,6.64
Empoli,Andrés Tello,1,0,11,10,37,6.64
Cagliari,Daniele Dessena,4,0,22,17,26,6.63
Palermo,Accursio Bentivegna,0,0,0,0,2,6.63
Genoa,Riccardo Fiamozzi,0,0,1,2,1,6.63
Crotone,Marcus Rohdén,1,1,27,36,75,6.63
Torino,Maxi López,0,0,2,0,4,6.63
Torino,Antonio Barreca,14,0,79,43,41,6.63
Torino,Lucas Boyé,1,0,6,15,25,6.63
Crotone,Simy,1,0,3,4,6,6.63
Lazio,Jordan Lukaku,1,0,15,10,20,6.62
Empoli,Frédéric Veseli,8,0,48,20,18,6.62
Milan,Andrea Poli,1,0,3,10,10,6.62
Pescara,Alexandru Mitriță,0,0,1,3,5,6.61
Atalanta,Anthony Mounier,0,0,2,3,6,6.61
Palermo,Simone Lo Faso,0,0,0,0,1,6.61
Fiorentina,Sebastián Cristóforo,1,1,3,10,17,6.61
Sampdoria,Ricardo Álvarez,1,0,10,13,17,6.61
Palermo,Josip Posavec,0,7,31,2,1,6.61
Inter,Cristian Ansaldi,0,1,29,27,44,6.60
Cagliari,Simone Padoin,4,0,29,26,38,6.60
Pescara,Vincenzo Fiorillo,0,1,5,0,0,6.60
Crotone,Aniello Salzano,2,0,6,5,6,6.60
Fiorentina,Bartłomiej Drągowski,0,0,1,0,0,6.60
Empoli,Matheus Pereira,0,0,0,0,0,6.60
Inter,Trent Sainsbury,2,0,1,0,1,6.60
Udinese,Ewandro,0,0,0,0,5,6.60
Torino,Mattia Aramu,0,0,0,0,0,6.60
Pescara,Guglielmo Stendardo,2,0,42,11,12,6.60
Crotone,Pietro De Giorgio,0,0,0,0,1,6.60
Crotone,Nunzio Di Roberto,0,0,0,0,0,6.60
Cagliari,Federico Serra,0,0,0,0,1,6.60
Pescara,Michele Fornasier,12,1,63,36,20,6.60
Lazio,Alessandro Rossi,0,0,0,0,2,6.60
Empoli,Alberto Pelagotti,0,0,3,0,0,6.60
Crotone,Adrian Stoian,0,0,13,28,17,6.60
Pescara,Simone Pepe,0,0,2,0,2,6.59
Pescara,Francesco Zampano,10,0,65,47,70,6.59
Sassuolo,Pol Lirola,10,1,81,24,37,6.59
Udinese,Thomas Heurtaux,4,0,20,13,11,6.59
Torino,Afriyie Acquah,1,0,11,28,18,6.59
Empoli,Daniele Croce,5,0,26,38,65,6.59
Crotone,Mario Sampirisi,7,0,37,33,23,6.58
Pescara,Sulley Muntari,2,0,7,8,11,6.58
Sassuolo,Cristian Dell'Orco,2,0,34,14,17,6.58
Torino,Arlind Ajeti,0,1,19,4,4,6.58
Palermo,Norbert Balogh,1,0,2,3,13,6.57
Pescara,Albano Bizzarri,0,4,19,2,0,6.57
Pescara,Valerio Verre,5,0,19,28,34,6.57
Udinese,Simone Scuffet,0,0,1,0,0,6.57
Sampdoria,Daniel Pavlović,1,0,26,8,10,6.57
Lazio,Cristiano Lombardi,1,0,2,2,14,6.56
Sassuolo,Davide Biondini,2,0,5,10,21,6.56
Lazio,Filip Đorđević,1,0,6,2,11,6.56
Milan,Marco Storari,0,1,10,1,0,6.55
Chievoverona,Samuel Bastien,2,0,10,10,12,6.55
Udinese,Adalberto Peñaranda,0,0,0,1,5,6.55
Torino,Daniele Padelli,0,0,4,0,0,6.55
Sampdoria,Filip Đuričić,1,0,3,3,11,6.55
Palermo,Carlos Embalo,1,0,4,5,14,6.55
Genoa,Leonardo Morosini,0,0,0,0,0,6.55
Sassuolo,Marcello Gazzola,3,0,51,19,24,6.55
Atalanta,Cristian Raimondi,2,0,14,11,4,6.55
Lazio,Ricardo Kishna,0,0,1,3,0,6.54
Cagliari,Artur Ioniță,3,0,10,18,27,6.54
Sampdoria,Bartosz Bereszyński,2,0,61,20,29,6.54
