Team,Name,Blocked shots,Errors lead to goal,Clearances,Interceptions,Tackles,Rating
Fc Schalke 04,Suat Serdar,6,1,4,23,51,6.57
Fc Schalke 04,Alessandro Schöpf,0,0,10,9,26,6.57
1 Fsv Mainz 05,Levin Öztunali,2,0,7,7,17,6.57
Vfb Stuttgart,Chadrac Akolo,0,0,0,4,9,6.56
Borussia Dortmund,Shinji Kagawa,0,0,0,0,0,6.55
Freiburg,Tim Kleindienst,0,0,7,0,4,6.55
Fc Schalke 04,Baba Rahman,0,0,2,2,3,6.55
Augsburg,Felix Götze,0,0,7,3,4,6.55
Eintracht Frankfurt,Taleb Tawatha,0,0,1,0,1,6.55
Fortuna Dusseldorf,Jaroslav Drobný,0,0,2,0,0,6.55
1 Fc Nurnberg,Federico Palacios,0,0,2,9,21,6.55
Hertha Bsc,Palkó Dárdai,0,0,0,0,1,6.54
Hannover 96,Kevin Akpoguma,7,1,24,22,33,6.54
Werder Bremen,Marco Friedl,6,0,19,13,7,6.53
1 Fc Nurnberg,Edgar Salli,0,0,1,1,2,6.53
Hannover 96,Sebastian Soto,0,0,0,0,0,6.53
Augsburg,Fredrik Jensen,0,0,3,2,5,6.52
Augsburg,Reece Oxford,9,0,37,11,12,6.51
Hannover 96,Jonathas,1,0,4,3,7,6.51
Fc Schalke 04,Jeffrey Bruma,2,0,34,4,12,6.50
1 Fsv Mainz 05,Jonathan Burkardt,0,0,3,3,4,6.50
1 Fc Nurnberg,Ivo Iličević,0,0,0,0,1,6.50
Hertha Bsc,Pascal Köpke,0,0,0,0,1,6.50
Vfb Stuttgart,Leon Dajaku,0,0,0,0,2,6.50
Fortuna Dusseldorf,Robin Bormuth,4,0,49,10,7,6.50
1 Fsv Mainz 05,Ahmet Gurleyen,0,0,1,0,0,6.50
Freiburg,Christoph Daferner,0,0,0,1,1,6.50
Vfb Stuttgart,Pablo Maffeo,4,0,8,13,14,6.48
Fc Schalke 04,Cedric Teuchert,0,0,0,1,0,6.48
